Target ID,Target Name,Site Center WKT,Site Shape WKT
fossil0086,fossil_Cape_Town_South_Africa,POINT(18.42198000000008 -33.91908999999998),"POLYGON((17.98758198266324 -34.27892674795156,17.99122665085767 -33.55771279810824,18.85273334914248 -33.55771279810824,18.85637801733691 -34.27892674795156,17.98758198266324 -34.27892674795156))"
fossil0087,fossil_Hyderabad_India,POINT(78.47076000000004 17.39487000000003),"POLYGON((78.09505693843812 17.0330931936598,78.09357819023779 17.75592382386027,78.84794180976229 17.75592382386027,78.84646306156196 17.0330931936598,78.09505693843812 17.0330931936598))"
fossil0088,fossil_Ho_Chi_Minh_City_Vietnam,POINT(106.70322 10.77822000000003),"POLYGON((106.3379127896571 10.41638663409381,106.3370396050955 11.13961325125899,107.0694003949046 11.13961325125899,107.0685272103431 10.41638663409381,106.3379127896571 10.41638663409381))"
fossil0089,fossil_Barcelona_Spain,POINT(2.170010000000048 41.38804000000005),"POLYGON((1.694388971000706 41.02688627471441,1.689110507827053 41.74718341130998,2.650909492173042 41.74718341130998,2.645631028999389 41.02688627471441,1.694388971000706 41.02688627471441))"
fossil0090,fossil_Baltimore_USA,POINT(-76.60925999999995 39.29058000000003),"POLYGON((-77.07055665053036 38.92936529799321,-77.07530867350775 39.64992592910962,-76.14321132649216 39.64992592910962,-76.14796334946955 38.92936529799321,-77.07055665053036 38.92936529799321))"
fossil0091,fossil_Changchun_China,POINT(125.3036800000001 43.88415000000003),"POLYGON((124.8089085533287 43.52306444182543,124.8029135728832 44.24304468412491,125.8044464271169 44.24304468412491,125.7984514466715 43.52306444182543,124.8089085533287 43.52306444182543))"
fossil0092,fossil_Almaty_Kazakhstan,POINT(76.88814000000008 43.25066000000004),"POLYGON((76.39846239191127 42.88955770989836,76.39265960436143 43.60961860252912,77.38362039563873 43.60961860252912,77.37781760808889 42.88955770989836,76.39846239191127 42.88955770989836))"
fossil0093,fossil_Birmingham_UK,POINT(-1.905919999999981 52.47891000000004),"POLYGON((-2.489890819644955 52.11798787707743,-2.499486774182827 52.83688039182196,-1.312353225817134 52.83688039182196,-1.321949180355006 52.11798787707743,-2.489890819644955 52.11798787707743))"
fossil0094,fossil_Hefei_China,POINT(117.28083 31.86389000000003),"POLYGON((116.8597756381411 31.50245116540088,116.8564833024725 32.22390339571654,117.7051766975276 32.22390339571654,117.7018843618589 31.50245116540088,116.8597756381411 31.50245116540088))"
fossil0095,fossil_Shijiazhuang_China,POINT(114.4786100000001 38.04139000000004),"POLYGON((114.025158182462 37.68013795188612,114.020691841957 38.40085369736966,114.9365281580433 38.40085369736966,114.9320618175383 37.68013795188612,114.025158182462 37.68013795188612))"
fossil0096,fossil_Harbin_China,POINT(126.6395100000001 45.75553000000008),"POLYGON((126.128676378208 45.39449106960001,126.1220669158861 46.11423267698813,127.1569530841141 46.11423267698813,127.1503436217922 45.39449106960001,126.128676378208 45.39449106960001))"
fossil0097,fossil_Cleveland_USA,POINT(-81.69073999999995 41.50473000000005),"POLYGON((-82.16720317383893 41.14357958290093,-82.17251281721833 41.8638619701883,-81.20896718278155 41.8638619701883,-81.21427682616095 41.14357958290093,-82.16720317383893 41.14357958290093))"
fossil0098,fossil_Fremantle_Australia,POINT(115.75351 -32.04731999999996),"POLYGON((115.3283072685109 -32.40731789241255,115.331629724671 -31.68588660738179,116.1753902753291 -31.68588660738179,116.1787127314891 -32.40731789241255,115.3283072685109 -32.40731789241255))"
fossil0099,fossil_Durban_South_Africa,POINT(31.02590000000004 -29.84704999999997),"POLYGON((30.61046651117221 -30.20723036039065,30.61344315537889 -29.48555240384543,31.43835684462118 -29.48555240384543,31.44133348882789 -30.20723036039065,30.61046651117221 -30.20723036039065))"
fossil0100,fossil_Las_Vegas_USA,POINT(-115.14001 36.17193000000003),"POLYGON((-115.5825933486158 35.81062128991481,-115.5866658842631 36.53156588951541,-114.6933541157368 36.53156588951541,-114.6974266513841 35.81062128991481,-115.5825933486158 35.81062128991481))"
fossil0101,fossil_Lima_Peru,POINT(-77.02823999999998 -12.04317999999995),"POLYGON((-77.39609824537703 -12.40451559814658,-77.39511534926189 -11.68135130345411,-76.66136465073808 -11.68135130345411,-76.66038175462293 -12.40451559814658,-77.39609824537703 -12.40451559814658))"
fossil0102,fossil_Mashhad_Iran,POINT(59.56796000000003 36.31559000000004),"POLYGON((59.124576648231 35.95428566158483,59.12047517507517 36.67521283222335,60.01544482492488 36.67521283222335,60.01134335176909 35.95428566158483,59.124576648231 35.95428566158483))"
fossil0103,fossil_Kansas_City_USA,POINT(-94.58310999999998 39.10344000000003),"POLYGON((-95.04320014580638 38.74221974199199,-95.04790812861712 39.46280370818921,-94.11831187138283 39.46280370818921,-94.12301985419357 38.74221974199199,-95.04320014580638 38.74221974199199))"
fossil0104,fossil_Guiyang_China,POINT(106.69473 26.57242000000008),"POLYGON((106.2944825240822 26.21083273809241,106.2919654376415 26.93285724877595,107.0974945623587 26.93285724877595,107.0949774759179 26.21083273809241,106.2944825240822 26.21083273809241))"
fossil0105,fossil_Chennai_India,POINT(80.28252000000003 13.08362000000005),"POLYGON((79.91421040572936 12.72179740459086,79.91313540485316 13.44490557786094,80.6519045951469 13.44490557786094,80.6508295942707 12.72179740459086,79.91421040572936 12.72179740459086))"
fossil0106,fossil_Caracas_Venezuela,POINT(-66.87918999999994 10.48801000000003),"POLYGON((-67.24416422689075 10.12617599670484,-67.2450125628039 10.84941598556997,-66.51336743719598 10.84941598556997,-66.51421577310913 10.12617599670484,-67.24416422689075 10.12617599670484))"
fossil0107,fossil_Bangalore_India,POINT(77.58742000000007 12.96685000000002),"POLYGON((77.21927795250326 12.60502661999094,77.21821337867664 13.32814130789641,77.9566266213235 13.32814130789641,77.95556204749687 12.60502661999094,77.21927795250326 12.60502661999094))"
fossil0108,fossil_Orlando_USA,POINT(-81.37738999999993 28.53823000000006),"POLYGON((-81.784718779048 28.17669557748333,-81.78750450082721 28.89851519407821,-80.96727549917266 28.89851519407821,-80.97006122095186 28.17669557748333,-81.784718779048 28.17669557748333))"
fossil0109,fossil_Baghdad_Iraq,POINT(44.39309000000003 33.34213000000005),"POLYGON((43.96516013579969 32.98073536938481,43.96161778010989 33.7020169855284,44.82456221989017 33.7020169855284,44.82101986420037 32.98073536938481,43.96516013579969 32.98073536938481))"
fossil0110,fossil_Sacramento_USA,POINT(-121.49085 38.57944000000003),"POLYGON((-121.9476210870275 38.218204107853,-121.9522081183987 38.93885323533197,-121.0294918816013 38.93885323533197,-121.0340789129725 38.218204107853,-121.9476210870275 38.218204107853))"
fossil0111,fossil_Bogota_Colombia,POINT(-74.06940999999995 4.614960000000053),"POLYGON((-74.42972177036602 4.253149579496219,-74.43008674702715 4.976583622398371,-73.70873325297279 4.976583622398371,-73.70909822963392 4.253149579496219,-74.42972177036602 4.253149579496219))"
fossil0112,fossil_Taegu_South_Korea,POINT(128.5911100000001 35.87028000000004),"POLYGON((128.1501880825395 35.50896210690301,128.1461756306846 36.22994321061527,129.0360443693155 36.22994321061527,129.0320319174607 35.50896210690301,128.1501880825395 35.50896210690301))"
fossil0113,fossil_Urumqi_China,POINT(87.58627000000007 43.78787000000005),"POLYGON((87.09228347514562 43.42678192697451,87.08631819069353 44.14677443358769,88.08622180930661 44.14677443358769,88.08025652485452 43.42678192697451,87.09228347514562 43.42678192697451))"
fossil0114,fossil_Vienna_Austria,POINT(16.36842000000007 48.20263000000006),"POLYGON((15.83403818281636 47.84164423095834,15.82650250466847 48.5610742059281,16.91033749533167 48.5610742059281,16.90280181718379 47.84164423095834,15.83403818281636 47.84164423095834))"
fossil0115,fossil_Manila_Philippines,POINT(120.98454 14.58864000000005),"POLYGON((120.6139195967158 14.22682972712524,120.6127080001771 14.94984911650832,121.356371999823 14.94984911650832,121.3551604032842 14.22682972712524,120.6139195967158 14.22682972712524))"
fossil0116,fossil_Columbus_USA,POINT(-83.00274999999993 39.96199000000007),"POLYGON((-83.46846919615577 39.60079509450302,-83.47338301928832 40.32127174978103,-82.53211698071155 40.32127174978103,-82.5370308038441 39.60079509450302,-83.46846919615577 39.60079509450302))"
fossil0117,fossil_Esfahan_Iran,POINT(51.67761000000007 32.65722000000005),"POLYGON((51.25292865366595 32.29580479558014,51.24950423827443 33.01716597069171,52.10571576172572 33.01716597069171,52.1022913463342 32.29580479558014,51.25292865366595 32.29580479558014))"
fossil0118,fossil_Portland_USA,POINT(-122.67563 45.51179000000008),"POLYGON((-123.1842815784977 45.150745258349,-123.1908067772139 45.87051795757355,-122.160453222786 45.87051795757355,-122.1669784215022 45.150745258349,-123.1842815784977 45.150745258349))"
fossil0119,fossil_Indianapolis_USA,POINT(-86.14995999999996 39.76691000000005),"POLYGON((-86.61437888907571 39.40570936604208,-86.6192450777489 40.12621046040641,-85.68067492225103 40.12621046040641,-85.68554111092422 39.40570936604208,-86.61437888907571 39.40570936604208))"
fossil0120,fossil_Zibo_China,POINT(118.0633300000001 36.79056000000003),"POLYGON((117.6172608507422 36.42927010207518,117.6130621856482 37.15013945333836,118.513597814352 37.15013945333836,118.5093991492579 36.42927010207518,117.6172608507422 36.42927010207518))"
fossil0121,fossil_San_Antonio_USA,POINT(-98.49460999999997 29.42458000000005),"POLYGON((-98.90537406212593 29.06307038953209,-98.90828795019429 29.78479450725505,-98.08093204980563 29.78479450725505,-98.08384593787399 29.06307038953209,-98.90537406212593 29.06307038953209))"
fossil0122,fossil_Taejon_South_Korea,POINT(127.1897200000001 36.08139000000006),"POLYGON((126.7476379329937 35.72007853407383,126.743583527296 36.44103410359179,127.6358564727042 36.44103410359179,127.6318020670066 35.72007853407383,126.7476379329937 35.72007853407383))"
fossil0123,fossil_Chifeng_China,POINT(118.9549300000001 42.27207000000004),"POLYGON((118.4728033328494 41.91094106778155,118.4672832546045 42.63112627907557,119.4425767453957 42.63112627907557,119.4370566671508 41.91094106778155,118.4728033328494 41.91094106778155))"
fossil0124,fossil_Hamburg_Germany,POINT(9.99183000000005 53.55375000000004),"POLYGON((9.39335852172988 53.19283634868796,9.383130083304877 53.91159624721446,10.60052991669522 53.91159624721446,10.59030147827022 53.19283634868796,9.39335852172988 53.19283634868796))"
fossil0125,fossil_Pune_India,POINT(73.85302000000007 18.50422000000003),"POLYGON((73.47501798736337 18.14245997033188,73.47342843424767 18.86520796481015,74.23261156575245 18.86520796481015,74.23102201263677 18.14245997033188,73.47501798736337 18.14245997033188))"
fossil0126,fossil_Al_Ain_UAE,POINT(55.68635000000006 24.20739000000003),"POLYGON((55.29370256672934 23.84574396133976,55.29148349237983 24.56800124226665,56.0812165076203 24.56800124226665,56.07899743327079 23.84574396133976,55.29370256672934 23.84574396133976))"
fossil0127,fossil_Mecca_Saudi_Arabia,POINT(39.82222000000007 21.42111000000006),"POLYGON((39.43734226208807 21.05940284350697,39.43544455968652 21.78191309549775,40.20899544031363 21.78191309549775,40.20709773791211 21.05940284350697,39.43734226208807 21.05940284350697))"
fossil0128,fossil_Vancouver_Canada,POINT(-123.1133599999999 49.26038000000005),"POLYGON((-123.6589256695129 48.8994138536163,-123.6669125843887 49.61870975947681,-122.5598074156112 49.61870975947681,-122.567794330487 48.8994138536163,-123.6589256695129 48.8994138536163))"
fossil0129,fossil_Datong_Shanxi_China,POINT(113.2913900000001 40.09361000000007),"POLYGON((112.8247862928055 39.73241894783774,112.8198400361256 40.4528790966168,113.7629399638745 40.4528790966168,113.7579937071947 39.73241894783774,112.8247862928055 39.73241894783774))"
fossil0130,fossil_Xiamen_China,POINT(118.12774 24.54404000000005),"POLYGON((117.7340690907122 24.1824019696191,117.7318091178395 24.9046270874714,118.5236708821606 24.9046270874714,118.5214109092879 24.1824019696191,117.7340690907122 24.1824019696191))"
fossil0131,fossil_Ningbo_China,POINT(121.53916 29.86569000000003),"POLYGON((121.1266276285803 29.50419293655447,121.1236481898807 30.2258688470836,121.9546718101194 30.2258688470836,121.9516923714198 29.50419293655447,121.1266276285803 29.50419293655447))"
fossil0132,fossil_Taichung_Taiwan,POINT(120.6482100000001 24.16324000000003),"POLYGON((120.2556953942308 23.80159292046761,120.2534816481981 24.52385439473593,121.042938351802 24.52385439473593,121.0407246057694 23.80159292046761,120.2556953942308 23.80159292046761))"
fossil0133,fossil_Rio_de_Janeiro_Brazil,POINT(-43.17500999999993 -22.91215999999997),"POLYGON((-43.5659588268291 -23.27286223496147,-43.56389279635636 -22.55048436371026,-42.7861272036435 -22.55048436371026,-42.78406117317076 -23.27286223496147,-43.5659588268291 -23.27286223496147))"
fossil0134,fossil_St_Petersburg_USA,POINT(-82.63875999999993 27.77119000000005),"POLYGON((-83.04323944731992 27.40963457760994,-83.0459178903541 28.13153530741095,-82.23160210964575 28.13153530741095,-82.23428055267993 27.40963457760994,-83.04323944731992 27.40963457760994))"
fossil0135,fossil_Monterrey_Mexico,POINT(-100.30999 25.67093000000006),"POLYGON((-100.707226268261 25.30931966218098,-100.7096267383362 26.03143474495184,-99.91035326166369 26.03143474495184,-99.91275373173895 25.30931966218098,-100.707226268261 25.30931966218098))"
fossil0136,fossil_Hanoi_Vietnam,POINT(105.8546400000001 21.02888000000007),"POLYGON((105.4707593157808 20.66716503492036,105.4689046019588 21.38970892281822,106.2403753980414 21.38970892281822,106.2385206842193 20.66716503492036,105.4707593157808 20.66716503492036))"
fossil0137,fossil_Rome_Italy,POINT(12.49565000000007 41.90322000000003),"POLYGON((12.01627319547353 41.54208080051245,12.01085545708699 42.26231276146891,12.98044454291315 42.26231276146891,12.97502680452661 41.54208080051245,12.01627319547353 41.54208080051245))"
fossil0138,fossil_New_Orleans_USA,POINT(-90.07774999999998 29.95370000000003),"POLYGON((-90.49063994074224 29.59220545468573,-90.49363260342881 30.31387169428743,-89.66186739657115 30.31387169428743,-89.66486005925772 29.59220545468573,-90.49063994074224 29.59220545468573))"
fossil0139,fossil_Al_Hofuf_Saudi_Arabia,POINT(49.58751000000007 25.36824000000007),"POLYGON((49.19125278843566 25.00662209373048,49.18889061605938 25.72876708600977,49.98612938394075 25.72876708600977,49.98376721156447 25.00662209373048,49.19125278843566 25.00662209373048))"
fossil0140,fossil_Chios_Turkey,POINT(29.04675000000003 40.19208000000003),"POLYGON((28.57948073383727 39.83089182431041,28.57451005526738 40.5513396149548,29.51898994473268 40.5513396149548,29.51401926616279 39.83089182431041,28.57948073383727 39.83089182431041))"
fossil0141,fossil_Naples_Italy,POINT(14.25226000000004 40.84014000000008),"POLYGON((13.78052752756346 40.4789706096864,13.77539268399505 41.19933688646658,14.72912731600502 41.19933688646658,14.72399247243661 40.4789706096864,13.78052752756346 40.4789706096864))"
fossil0142,fossil_Guadalajara_Mexico,POINT(-103.35104 20.68758000000003),"POLYGON((-103.7340718120712 20.32585841064977,-103.7358895332921 21.04843115464374,-102.9661904667078 21.04843115464374,-102.9680081879287 20.32585841064977,-103.7340718120712 20.32585841064977))"
fossil0143,fossil_Kaoshsiung_Taiwan,POINT(120.31226 22.62014000000005),"POLYGON((119.9241888198332 22.25845796840402,119.9221563925252 22.98086231927072,120.7023636074748 22.98086231927072,120.7003311801668 22.25845796840402,119.9241888198332 22.25845796840402))"
fossil0144,fossil_Dhaka_Bangladesh,POINT(90.39957000000004 23.71323000000007),"POLYGON((90.00839097654466 23.35157243757066,90.00623108280752 24.07387632343744,90.79290891719256 24.07387632343744,90.79074902345542 23.35157243757066,90.00839097654466 23.35157243757066))"
fossil0145,fossil_Calgary_Canada,POINT(-114.06301 51.04532000000006),"POLYGON((-114.6290037139977 50.68438145855307,-114.6378347582616 51.40345263381045,-113.4881852417383 51.40345263381045,-113.4970162860022 50.68438145855307,-114.6290037139977 50.68438145855307))"
fossil0146,fossil_Pittsburgh_USA,POINT(-79.99733999999995 40.43851000000006),"POLYGON((-80.46628935310258 40.07732899816616,-80.47132174679173 40.79774582876508,-79.52335825320817 40.79774582876508,-79.52839064689732 40.07732899816616,-80.46628935310258 40.07732899816616))"
fossil0147,fossil_Austin_USA,POINT(-97.74298999999996 30.26759000000004),"POLYGON((-98.1571682609012 29.9061044739201,-98.1602084892811 30.62773608159921,-97.32577151071882 30.62773608159921,-97.32881173909873 29.9061044739201,-98.1571682609012 29.9061044739201))"
fossil0148,fossil_Amman_Jordan,POINT(35.94042000000007 31.95180000000005),"POLYGON((35.51897075713185 31.59036377177461,35.51566401687791 32.31180597217597,36.36517598312224 32.31180597217597,36.36186924286829 31.59036377177461,35.51897075713185 31.59036377177461))"
fossil0149,fossil_Salt_Lake_City_USA,POINT(-111.88822 40.76031000000006),"POLYGON((-112.3593948040455 40.39913830999709,-112.3645090969665 41.11951464415647,-111.4119309030335 41.11951464415647,-111.4170451959545 40.39913830999709,-112.3593948040455 40.39913830999709))"
fossil0150,fossil_Medina_Saudi_Arabia,POINT(39.60641000000004 24.46728000000007),"POLYGON((39.21297411750311 24.1056401325987,39.21072351218024 24.82787261317303,40.00209648781984 24.82787261317303,39.99984588249697 24.1056401325987,39.21297411750311 24.1056401325987))"
fossil0151,fossil_Adelaide_Australia,POINT(138.5998000000001 -34.92584999999997),"POLYGON((138.1600924295792 -35.28559790214575,138.1639224948306 -34.56450335739547,139.0356775051696 -34.56450335739547,139.0395075704209 -35.28559790214575,138.1600924295792 -35.28559790214575))"
fossil0152,fossil_Warsaw_Poland,POINT(21.01037000000002 52.23560000000003),"POLYGON((20.42955634677949 51.87467548625531,20.42009625309859 52.59359818852742,21.60064374690145 52.59359818852742,21.59118365322055 51.87467548625531,20.42955634677949 51.87467548625531))"
fossil0153,fossil_Omsk_Russia,POINT(73.36476000000005 54.99471000000005),"POLYGON((72.74532332621322 54.63380189182949,72.73415541226115 55.35238611138777,73.99536458773895 55.35238611138777,73.98419667378687 54.63380189182949,72.74532332621322 54.63380189182949))"
fossil0154,fossil_Astana_Kazakhstan,POINT(71.42830000000004 51.12771000000004),"POLYGON((70.8613127695489 50.76677254914924,70.85243999830209 51.48583340754745,72.00416000169795 51.48583340754745,71.99528723045117 50.76677254914924,70.8613127695489 50.76677254914924))"
fossil0155,fossil_Maebashi_Japan,POINT(139.0634184300001 36.38949739100008),"POLYGON((138.6196212894588 36.02819530104563,138.6155048468693 36.74911349431289,139.5113320131309 36.74911349431289,139.5072155705413 36.02819530104563,138.6196212894588 36.02819530104563))"
fossil0156,fossil_Tabriz_Iran,POINT(46.29190000000006 38.08000000000004),"POLYGON((45.83821293639852 37.71874911426097,45.8337380502353 38.43946008958064,46.75006194976481 38.43946008958064,46.74558706360159 37.71874911426097,45.83821293639852 37.71874911426097))"
fossil0157,fossil_Ahmadabad_India,POINT(72.60025000000007 23.02777000000003),"POLYGON((72.21104215840745 22.66609692454589,72.20896273546134 23.38846423952132,72.9915372645388 23.38846423952132,72.9894578415927 22.66609692454589,72.21104215840745 22.66609692454589))"
fossil0158,fossil_Sohag_Egypt,POINT(31.69545000000005 26.55513000000008),"POLYGON((31.29526163914551 26.19354228823396,31.29274682637046 26.91556855670188,32.09815317362964 26.91556855670188,32.09563836085459 26.19354228823396,31.29526163914551 26.19354228823396))"
fossil0159,fossil_Munich_Germany,POINT(11.57754000000006 48.13641000000007),"POLYGON((11.043837058457 47.77542292932183,11.03632852963423 48.49486131462268,12.11875147036588 48.49486131462268,12.11124294154311 47.77542292932183,11.043837058457 47.77542292932183))"
fossil0160,fossil_Ahvaz_Iran,POINT(48.66930000000008 31.32030000000003),"POLYGON((48.25064922699363 30.9588451239836,48.24744472305474 31.68035903125548,49.09115527694541 31.68035903125548,49.08795077300653 30.9588451239836,48.25064922699363 30.9588451239836))"
fossil0161,fossil_Baabda_Lebanon,POINT(35.96785000000006 34.51451000000003),"POLYGON((35.534096992207 34.15315085428782,35.53034376282915 34.87429438308867,36.40535623717096 34.87429438308867,36.40160300779311 34.15315085428782,35.534096992207 34.15315085428782))"
fossil0162,fossil_Rostov-on-Don_Russia,POINT(39.71676000000008 47.22691000000003),"POLYGON((39.19213893391324 46.86590423970592,39.18499100543255 47.58545829598945,40.24852899456761 47.58545829598945,40.24138106608692 46.86590423970592,39.19213893391324 46.86590423970592))"
fossil0163,fossil_Prague_Czech_Republic,POINT(14.43302000000006 50.07913000000008),"POLYGON((13.87833752012821 49.71817742854763,13.86997711182434 50.4373699803516,14.99606288817577 50.4373699803516,14.9877024798719 49.71817742854763,13.87833752012821 49.71817742854763))"
fossil0164,fossil_San_Cristobal_Dominican_Republic,POINT(-70.09999999999997 18.41667000000007),"POLYGON((-70.47781442165007 18.0549085766818,-70.4793951117736 18.77766325288781,-69.72060488822633 18.77766325288781,-69.72218557834987 18.0549085766818,-70.47781442165007 18.0549085766818))"
fossil0165,fossil_Amsterdam_Netherlands,POINT(4.907880000000034 52.36993000000007),"POLYGON((4.325328839494603 52.00900682704061,4.315794057619257 52.72791285570358,5.499965942380811 52.72791285570358,5.490431160505466 52.00900682704061,4.325328839494603 52.00900682704061))"
fossil0166,fossil_Bucharest_Romania,POINT(26.10298000000006 44.43429000000003),"POLYGON((25.60364786538 44.07321860693519,25.59747974411565 44.79312873515497,26.60848025588447 44.79312873515497,26.60231213462012 44.07321860693519,25.60364786538 44.07321860693519))"
fossil0167,fossil_Maracaibo_Venezuela,POINT(-71.59756999999996 10.68769000000003),"POLYGON((-71.96277227234074 10.32585641771357,-71.96363769317348 11.04908724347818,-71.23150230682644 11.04908724347818,-71.23236772765918 10.32585641771357,-71.96277227234074 10.32585641771357))"
fossil0168,fossil_Lahore_Pakistan,POINT(74.34361000000007 31.54972000000004),"POLYGON((73.92395276506886 31.18827187794354,73.92071144961642 31.90975982734824,74.76650855038372 31.90975982734824,74.76326723493128 31.18827187794354,73.92395276506886 31.18827187794354))"
fossil0169,fossil_Budapest_Hungary,POINT(19.05508000000003 47.49972000000008),"POLYGON((18.52778141472987 47.13872000078531,18.52052767254438 47.85823933267335,19.58963232745569 47.85823933267335,19.58237858527019 47.13872000078531,18.52778141472987 47.13872000078531))"
fossil0170,fossil_Ashgabat_Turkmenistan,POINT(58.38333000000006 37.95000000000005),"POLYGON((57.93043321826156 37.58874519882993,57.92598703568382 38.30947222878655,58.8406729643163 38.30947222878655,58.83622678173856 37.58874519882994,57.93043321826156 37.58874519882993))"
fossil0171,fossil_Brussels_Belgium,POINT(4.356090000000052 50.84439000000003),"POLYGON((3.792499788219885 50.483448727441,3.783769428095752 51.2025450860602,4.928410571904351 51.2025450860602,4.919680211780218 50.483448727441,3.792499788219885 50.483448727441))"
fossil0172,fossil_Katowice_Poland,POINT(19.03105000000005 50.25641000000007),"POLYGON((18.47433800095305 49.89546016937752,18.46589374395256 50.61463039951276,19.59620625604754 50.61463039951276,19.58776199904705 49.89546016937752,18.47433800095305 49.89546016937752))"
fossil0173,fossil_Kuybyskev_Russia,POINT(50.15000000000003 53.20006000000006),"POLYGON((49.55640236329623 52.83914394833862,49.54638807346737 53.55794734739364,50.7536119265327 53.55794734739364,50.74359763670384 52.83914394833862,49.55640236329623 52.83914394833862))"
fossil0174,fossil_Karachi_Pakistan,POINT(67.08220000000006 24.90560000000005),"POLYGON((66.68740873598495 24.54397070870306,66.68510429829641 25.26616091652592,67.47929570170373 25.26616091652592,67.47699126401517 24.54397070870306,66.68740873598495 24.54397070870306))"
fossil0175,fossil_Lagos_Nigeria,POINT(3.388760000000048 6.454710000000034),"POLYGON((3.027406169901752 6.092884533747503,3.026893061014107 6.816273711517654,3.750626938985988 6.816273711517654,3.750113830098343 6.092884533747503,3.027406169901752 6.092884533747503))"
fossil0176,fossil_Luanda_Angola,POINT(13.23288000000002 -8.81565999999998),"POLYGON((12.86892580103418 -9.177135759114783,12.86963302807001 -8.453825550507268,13.59612697193003 -8.453825550507268,13.59683419896587 -9.177135759114783,12.86892580103418 -9.177135759114783))"
fossil0177,fossil_Peshawar_Pakistan,POINT(71.57849000000004 34.00800000000004),"POLYGON((71.14729432784742 33.64662549036558,71.14363364412623 34.36782896205548,72.01334635587389 34.36782896205548,72.00968567215267 33.64662549036558,71.14729432784742 33.64662549036558))"
fossil0178,fossil_Khartoum_Sudan,POINT(32.5599 15.5007),"POLYGON((32.18774015129756 15.13889914365469,32.18644362932309 15.86186044471589,32.9333563706769 15.86186044471589,32.93205984870244 15.13889914365469,32.18774015129756 15.13889914365469))"
fossil0179,fossil_Nairobi_Kenya,POINT(36.8219 -1.2921),"POLYGON((36.46242514690999 -1.653812627211711,36.46252682884426 -0.9303351668843962,37.18127317115574 -0.9303351668843962,37.18137485309001 -1.653812627211711,36.46242514690999 -1.653812627211711))"
fossil0180,fossil_Miller_Power_Plant_USA,POINT(-87.12 33.64),"POLYGON((-87.54937747621666 33.27861435774051,-87.55297230676595 33.99986111141043,-86.68702769323404 33.99986111141043,-86.69062252378335 33.27861435774051,-87.54937747621666 33.27861435774051))"
fossil0181,fossil_Tutuka_and_Majuba_Powerplant,POINT(29.56 -26.95),"POLYGON((29.25715489208176 -27.2204189393692,29.25859888818565 -26.67892361530905,29.86140111181436 -26.67892361530905,29.86284510791825 -27.2204189393692,29.25715489208176 -27.2204189393692))"
fossil0182,fossil_Janschwalde_Germany,POINT(14.5 51.62),"POLYGON((13.92697782390601 51.25906870198528,13.91785022437023 51.97806803501818,15.08214977562977 51.97806803501818,15.07302217609399 51.25906870198528,13.92697782390601 51.25906870198528))"
fossil0183,fossil_Colstrip_powerplant,POINT(-106.611 45.8816),"POLYGON((-106.9955957134043 45.61103826612251,-106.9993383381241 46.1508419277396,-106.2226616618759 46.1508419277396,-106.2264042865957 45.61103826612251,-106.9955957134043 45.61103826612251))"
fossil0184,fossil_Monroe_powerplant,POINT(-83.342 41.895),"POLYGON((-83.70198834651617 41.62433307059568,-83.70503454710054 42.1645161638929,-82.97896545289947 42.1645161638929,-82.98201165348382 41.62433307059568,-83.70198834651617 41.62433307059568))"
fossil0185,fossil_Comanche_powerplant,POINT(-104.579787 38.2),"POLYGON((-104.9210194669343 37.92922940483805,-104.9235515864258 38.46975901129181,-104.2360224135742 38.46975901129181,-104.2385545330657 37.92922940483805,-104.9210194669343 37.92922940483805))"
fossil0186,fossil_Sammis_Cardinal_Mansfield_powerplants,POINT(-80.56 40.415),"POLYGON((-80.91205638843371 40.14429197032326,-80.91488376913752 40.68461479074027,-80.20511623086249 40.68461479074027,-80.20794361156628 40.14429197032326,-80.91205638843371 40.14429197032326))"
fossil0187,fossil_Keystone_HomerCity_Conemaugh_Powerplants,POINT(-79.194 40.513),"POLYGON((-79.54656352960527 40.24229471410003,-79.54940483206714 40.78260831503266,-78.83859516793287 40.78260831503266,-78.84143647039474 40.24229471410003,-79.54656352960527 40.24229471410003))"
fossil0188,fossil_Bowen_powerplant,POINT(-84.922 34.124),"POLYGON((-85.24617242264931 33.85311389248429,-85.2482433623847 34.39401300834266,-84.5957566376153 34.39401300834266,-84.59782757735067 33.85311389248429,-85.24617242264931 33.85311389248429))"
fossil0189,fossil_Scherer_powerplant,POINT(-83.81 33.061),"POLYGON((-84.1302605038282 32.79008423628199,-84.13222558857596 33.33107663794469,-83.48777441142404 33.33107663794469,-83.48973949617181 32.79008423628199,-84.1302605038282 32.79008423628199))"
fossil0190,fossil_Boundary_Dam_powerplant,POINT(-103.0305 49.09606),"POLYGON((-103.4390712198068 48.82557362507836,-103.4435231567741 49.36507188782073,-102.6174768432259 49.36507188782073,-102.6219287801932 48.82557362507836,-103.4390712198068 48.82557362507836))"
fossil0191,fossil_Sheerness_powerplant,POINT(-111.7861 51.5317),"POLYGON((-112.215885181463 51.26126241392286,-112.2209933342413 51.80053206717378,-111.3512066657587 51.80053206717378,-111.3563148185371 51.26126241392286,-112.215885181463 51.26126241392286))"
