Target ID,Target Name,Site Center WKT,Site Shape WKT
fossil0006,fossil_Shanghai_China,POINT(121.45806 31.22222000000005),"POLYGON((121.039835986776 30.86076224417593,121.036647107279 31.58228721592647,121.8794728927211 31.58228721592647,121.8762840132241 30.86076224417593,121.039835986776 30.86076224417593))"
fossil0007,fossil_Singapore_Singapore,POINT(103.7571100000001 1.464780000000076),"POLYGON((103.3977177363111 1.103012204660774,103.3976024514856 1.826488609909706,104.1166175485146 1.826488609909706,104.1165022636891 1.103012204660774,103.3977177363111 1.103012204660774))"
fossil0008,fossil_Chicago_USA,POINT(-87.63244999999995 41.88425000000007),"POLYGON((-88.11168676528034 41.52311026938241,-88.11709930035195 42.24334463282344,-87.14780069964795 42.24334463282344,-87.15321323471956 41.52311026938241,-88.11168676528034 41.52311026938241))"
fossil0009,fossil_Tokyo_Japan,POINT(139.6917160900001 35.68945633100003),"POLYGON((139.2517783047833 35.32813293197606,139.2478014370047 36.04913585666624,140.1356307429955 36.04913585666624,140.1316538752169 35.32813293197606,139.2517783047833 35.32813293197606))"
fossil0010,fossil_Riyadh_Saudi_Arabia,POINT(46.68719000000004 24.68218000000007),"POLYGON((46.29309364033878 24.32054529182815,46.2908167457322 25.04275711631926,47.08356325426789 25.04275711631926,47.08128635966131 24.32054529182815,46.29309364033878 24.32054529182815))"
fossil0011,fossil_Dubai_UAE,POINT(55.30884000000003 25.26951000000003),"POLYGON((54.91289870710585 24.90788964535093,54.91054893609117 25.63004433780424,55.70713106390892 25.63004433780424,55.70478129289421 24.90788964535093,54.91289870710585 24.90788964535093))"
fossil0012,fossil_Wuxi_China,POINT(120.28857 31.56887000000006),"POLYGON((119.8688282306888 31.2074224428035,119.8655838256462 31.92890822063994,120.7115561743539 31.92890822063994,120.7083117693113 31.2074224428035,119.8688282306888 31.2074224428035))"
fossil0013,fossil_Johannesburg_South_Africa,POINT(28.04006000000004 -26.20490999999993),"POLYGON((27.6385884358977 -26.56537493723464,27.64105750997115 -25.84331323634569,28.43906249002893 -25.84331323634569,28.44153156410238 -26.56537493723464,27.6385884358977 -26.56537493723464))"
fossil0014,fossil_Tehran_Iran,POINT(51.42151000000007 35.69439000000006),"POLYGON((50.98154547985223 35.33306675120603,50.97756764543732 36.05406908114344,51.86545235456282 36.05406908114344,51.86147452014791 35.33306675120603,50.98154547985223 35.33306675120603))"
fossil0015,fossil_London_UK,POINT(-0.1272099999999341 51.50642000000005),"POLYGON((-0.6988246470891113 51.14548733850116,-0.7078926028118531 51.86450084796164,0.4534726028119849 51.86450084796164,0.4444046470892431 51.14548733850116,-0.6988246470891113 51.14548733850116))"
fossil0016,fossil_Benha_Egypt,POINT(31.17858000000007 30.45906000000008),"POLYGON((30.76360579034244 30.09758000397126,30.76053623447419 30.81919038015478,31.59662376552595 30.81919038015478,31.5935542096577 30.09758000397126,30.76360579034244 30.09758000397126))"
fossil0017,fossil_Beijing_China,POINT(116.39723 39.90750000000003),"POLYGON((115.9318752850915 39.54630349646369,115.9269748195112 40.26678698125344,116.8674851804889 40.26678698125344,116.8625847149086 39.54630349646369,115.9318752850915 39.54630349646369))"
fossil0018,fossil_Jakarta_Indonesia,POINT(106.8264800000001 -6.171479999999974),"POLYGON((106.4648209504148 -6.533053427942063,106.4653111005888 -5.809656385420122,107.1876488994113 -5.809656385420122,107.1881390495853 -6.533053427942063,106.4648209504148 -6.533053427942063))"
fossil0019,fossil_Al-Ahmadi_Kuwait,POINT(48.07602000000003 29.09426000000008),"POLYGON((47.66655438987777 28.73274107810917,47.66368880968676 29.45450100227606,48.4883511903133 29.45450100227606,48.48548561012231 28.73274107810917,47.66655438987777 28.73274107810917))"
fossil0020,fossil_Miami_USA,POINT(-80.19772999999998 25.77481000000006),"POLYGON((-80.59530594273419 25.41320228088724,-80.59771965369563 26.1353070402394,-79.79774034630432 26.1353070402394,-79.80015405726577 25.41320228088724,-80.59530594273419 25.41320228088724))"
fossil0021,fossil_Samut_Prakan_Thailand,POINT(100.5968872263649 13.59946800439462),"POLYGON((100.2278173682814 13.23764917319291,100.2266960186022 13.96072791914691,100.9670784341275 13.96072791914691,100.9659570844483 13.23764917319291,100.2278173682814 13.23764917319291))"
fossil0022,fossil_Paris_France,POINT(2.341400000000021 48.85717000000005),"POLYGON((1.800174316502847 48.49619663946908,1.79236340460605 49.21554358712489,2.890436595393993 49.21554358712489,2.882625683497196 48.49619663946908,1.800174316502847 48.49619663946908))"
fossil0023,fossil_Dallas_USA,POINT(-96.79539999999997 32.77815000000004),"POLYGON((-97.22064691018014 32.41673841761163,-97.22409187999784 33.13808560792788,-96.3667081200021 33.13808560792788,-96.37015308981981 32.41673841761163,-97.22064691018014 32.41673841761163))"
fossil0024,fossil_Tianjin_China,POINT(117.1766700000001 39.14222000000007),"POLYGON((116.7163307602468 38.78100089459364,116.7116136882736 39.50158002785707,117.6417263117265 39.50158002785707,117.6370092397533 38.78100089459364,116.7163307602468 38.78100089459364))"
fossil0025,fossil_Istanbul_Turkey,POINT(28.94966000000005 41.01384000000007),"POLYGON((28.47670634493426 40.65267559873763,28.47152645966941 41.37301997704922,29.4277935403307 41.37301997704922,29.42261365506585 40.65267559873763,28.47670634493426 40.65267559873763))"
fossil0026,fossil_Detroit_USA,POINT(-83.04799999999994 42.33168000000006),"POLYGON((-83.53057592943941 41.97055271609153,-83.5361127579729 42.69073036599353,-82.55988724202699 42.69073036599353,-82.56542407056048 41.97055271609153,-83.53057592943941 41.97055271609153))"
